Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-06-23,152189,1167,1776,-52.19%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-06-24,86172,1162,533,54.13%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-06-23,152189,1167,-37,103.17%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-06-24,86172,1162,186,83.99%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-06-25,112296,1361,216,84.13%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-06-26,85686,1648,-32,101.94%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-06-23,152189,1167,-37,103.17%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-06-24,86172,1162,186,83.99%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-06-25,112296,1361,216,84.13%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-06-26,85686,1648,-32,101.94%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-06-27,163509,1931,26,98.65%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-06-23,152189,1167,-37,103.17%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-06-23,152189,1167,-37,103.17%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-06-24,86172,1162,186,83.99%
